id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
Windowgames_3338;Team Fortress Classic;PC;Sierra Entertainment;1999-01-01;;Shooter;;;Valve;;;;team fortress classic
Windowgames_3339;Team Sonic Racing;PC;Sega;2019-01-01;;Racing,Arcade;;;Sumo Digital;;;;team sonic racing
Windowgames_3340;Teenage Mutant Ninja Turtles;PC;Konami;2003-01-01;;"""Hack and slash/Beat em up""";;;Konami;;;;teenage mutant ninja turtles
Windowgames_3341;Teenage Mutant Ninja Turtles 2: Battle Nexus;PC;Konami;2004-01-01;;"Racing,""Hack and slash/Beat em up""";;;Konami;;;;teenage mutant ninja turtles 2 battle nexus
Windowgames_3342;Telengard;PC;;2002-01-01;;Role-playing (RPG),Adventure;;;Travis Baldree;;;;telengard
Windowgames_3343;Tempest 2000;PC;Atari;1994-01-01;;Shooter,Arcade;;;Atari,Llamasoft;;;;tempest 2000
Windowgames_3344;Temple of Elemental Evil, The;PC;Atari;2003-01-01;;Role-playing (RPG),Strategy;;;Troika Games;;;;temple of elemental evil the
Windowgames_3345;Ten Desires;PC;Team Shanghai Alice;2011-01-01;;Shooter,Indie;;;Team Shanghai Alice;;;;ten desires
Windowgames_3346;Ten Pin Alley;PC;ASC Games;1996-01-01;;Sport;;;Adrenalin Entertainment;;;;ten pin alley
Windowgames_3347;Terminator 3: War of the Machines;PC;Atari;2004-01-01;;Shooter;;;Clevers Games;;;;terminator 3 war of the machines
Windowgames_3348;Terminator Salvation;PC;Equity Games;2009-01-01;;Shooter,Arcade;;;GRIN;;;;terminator salvation
Windowgames_3349;Terminus;PC;Vatical Entertainment LLC;2000-01-01;;Indie;;;Vicarious Visions;;;;terminus
Windowgames_3350;TerraFire;PC;ORT Software;2000-01-01;;Shooter,Arcade;;;ORT Software;;;;terrafire
Windowgames_3351;Terraria;PC;Re-Logic;2011-01-01;;Platform,Role-playing (RPG),Simulator,Strategy,Adventure,Indie;;;Re-Logic;;;;terraria
Windowgames_3352;Test Drive;PC;Infogrames;2002-01-01;;Racing,Simulator,Sport;;;Pitbull Syndicate;;;;test drive
Windowgames_3353;Test Drive 5;PC;Accolade;1998-01-01;;Racing;;;Pitbull Syndicate;;;;test drive 5
Windowgames_3354;Test Drive 6;PC;Infogrames North AmericaCryo Interactive;1999-01-01;;Racing,Simulator,Sport;;;Pitbull Syndicate;;;;test drive 6
Windowgames_3355;Test Drive Off-Road;PC;AccoladeEidos Interactive;1997-01-01;;Racing;;;Elite Systems;;;;test drive offroad
Windowgames_3356;Test Drive Off-Road 2;PC;Accolade;1998-01-01;;Racing;;;Accolade;;;;test drive offroad 2
Windowgames_3357;Test Drive Off-Road 3;PC;Infogrames North America;1999-01-01;;Racing;;;Infogrames North America;;;;test drive offroad 3
Windowgames_3358;Test Drive Unlimited;PC;Atari;2006-01-01;;Racing;;;Eden Games;;;;test drive unlimited
Windowgames_3359;Test Drive Unlimited 2;PC;Atari;2011-01-01;;Racing;;;Eden Games;;;;test drive unlimited 2
Windowgames_3360;TetriNET;PC;;1997-01-01;;Puzzle,Strategy;;;St0rmCat;;;;tetrinet
Windowgames_3361;Tetris Worlds;PC;THQ;2001-01-01;;Sport,Arcade;;;Radical Entertainment,Blue Planet Software,3d6 Games;;;;tetris worlds
Windowgames_3362;Tex Murphy: Overseer;PC;Access Software;1998-01-01;;Adventure;;;Access Software;;;;tex murphy overseer
Windowgames_3363;Theatre of War;PC;Battlefront.com;2007-01-01;;Real Time Strategy (RTS),Role-playing (RPG),Simulator,Strategy;;;1C Company;;;;theatre of war
Windowgames_3364;theHunter;PC;Emote Games;2009-01-01;;Simulator;;;Avalanche Studios;;;;thehunter
Windowgames_3365;Theme Hospital;PC;Electronic Arts;1997-01-01;;Real Time Strategy (RTS),Simulator,Strategy;;;Bullfrog Productions;;;;theme hospital
Windowgames_3366;Theme Park Inc;PC;Electronic Arts;2001-01-01;;Simulator,Strategy;;;Bullfrog Productions,Climax Group;;;;theme park inc
Windowgames_3367;Theme Park World;PC;Electronic Arts;1999-01-01;;Simulator,Strategy;;;Bullfrog Productions;;;;theme park world
Windowgames_3368;They Hunger;PC;PC Gamer;1999-01-01;;Shooter,Adventure,Indie;;;Black Widow Games;;;;they hunger
Windowgames_3369;The Fairyland Story;PC;Hasbro Interactive;1997-01-01;;Platform,Arcade;;;Tokai Communications;;;;the fairyland story
Windowgames_3370;Thief: Deadly Shadows;PC;Eidos Interactive;2004-01-01;;Shooter;;;Ion Storm;;;;thief deadly shadows
Windowgames_3371;Thief: The Dark Project;PC;Eidos Interactive;1998-01-01;;Shooter,Simulator,Adventure;;;Looking Glass Studios;;;;thief the dark project
Windowgames_3372;Thief II: The Metal Age;PC;Eidos Interactive;2000-01-01;;Shooter,Simulator,Adventure;;;Looking Glass Studios;;;;thief ii the metal age
Windowgames_3373;The Thing;PC;Black Label Games,Konami;2002-01-01;;Platform;;;Computer Artworks;;;;the thing
Windowgames_3374;Thorgal: Curse of Atlantis;PC;Le Lombard;2002-01-01;;Adventure;;;Cryo Interactive Entertainment;;;;thorgal curse of atlantis
