id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_34637;CSI: Dark Motives;DS;;2004-03-23;;;;;;;;
wikidata_id_34638;Cabela's Trophy Bucks;X360;;2007-09-25;;;;;;;;
wikidata_id_34639;The Mummy;PC;;2000-12-08;;;;;;;Teen;The Mummy
wikidata_id_34640;Tokyo Xtreme Racer: Zero;PS2;;2001-03-15;;;;;;;;Shutokō Battle
wikidata_id_34641;A Midsummer Day's Resonance;PC;;2002-07-01;;;;;;;;
wikidata_id_34644;Strike Fighters: Project 1;PC;;2002-10-27;;;;;;;;
wikidata_id_34646;CLEAVAGE;PC;;2005-02-18;;;;;;;;
wikidata_id_34647;Sheep;GBA;;2000-11-06;;;;;;;;
wikidata_id_34648;Ghostbusters: The Video Game;PC;;2009-06-16;;;;;;;Teen;Ghostbusters
wikidata_id_34650;Raiden IV;PC;;2007-06-07;;;;;;;Everyone 10+;Raiden
wikidata_id_34651;Elemental Gelade: Matoe, Suifu no Ken;PS2;;2005-06-30;;;;;;;;
wikidata_id_34652;Microsoft Flight Simulator 2004: A Century of Flight;PC;;2003-07-01;;;;;;;;Microsoft Flight Simulator
wikidata_id_34653;International Superstar Soccer 3;PC;;2003-03-28;;;;;;;;International Superstar Soccer
wikidata_id_34654;NBA Live 06;PS2;;2005-09-26;;;;;;;Everyone;NBA Live
wikidata_id_34655;Tiger Woods PGA Tour 09;X360;;2008-08-26;;;;;;;;Tiger Woods PGA Tour
wikidata_id_34656;Prince of Persia: Warrior Within;PS2;;2004-11-30;;;;;;;Mature 17+;Prince of Persia
wikidata_id_34657;Namco Museum Virtual Arcade;X360;;2008-11-04;;;;;;;;Namco Museum
wikidata_id_34659;Block Breaker Deluxe;Wii;;2008-05-07;;;;;;;;
wikidata_id_34661;Sega Soccer Slam;X360;;2002-03-18;;;;;;;Everyone;
wikidata_id_34663;WSC Real 08: World Snooker Championship;Wii;;2008-11-14;;;;;;;;
wikidata_id_34664;The Incredibles;PC;;2004-10-26;;;;;;;Teen;
wikidata_id_34665;Mario vs. Donkey Kong 2: March of the Minis;DS;;2006-09-25;;;;;;;Everyone;Mario vs. Donkey Kong
wikidata_id_34666;Cabela's Alaskan Adventures;PS2;;2006-09-09;;;;;;;;
wikidata_id_34667;My Horse and Me;PC;;2007-11-23;;;;;;;Everyone;
wikidata_id_34668;Dr. Mario and Puzzle League;GBA;;2005-01-01;;;;;;;;Puzzle League
wikidata_id_34669;Heracles Chariot Racing;Wii;;2007-07-06;;;;;;;;
wikidata_id_34670;International Superstar Soccer 3;GC;;2003-03-28;;;;;;;;International Superstar Soccer
wikidata_id_34671;Bee Movie Game;X360;;2007-10-30;;;;;;;Everyone;
wikidata_id_34672;TOCA Race Driver;PS2;;2002-08-23;;;;;;;Teen;
wikidata_id_34673;Test Drive Unlimited;PSP;;2006-09-05;;;;;;;Everyone 10+;Test Drive
wikidata_id_34674;The Smurfs: The Revenge of The Smurfs;GBA;;2002-10-15;;;;;;;;
wikidata_id_34675;Paper Mario;N64;;2000-08-11;;;;;;;Everyone;Paper Mario
wikidata_id_34677;Suikoden III;PS2;;2002-07-11;;;;;;;Teen;Suikoden
wikidata_id_34678;Nuclear Titbit 2;PC;;2006-01-01;;;;;;;;Nuclear Titbit
wikidata_id_34679;Battlefield: Bad Company;PS3;;2008-06-23;;;;;;;Teen;Battlefield: Bad Company
wikidata_id_34680;The Incredibles;GC;;2004-10-26;;;;;;;Teen;
wikidata_id_34681;Bee Movie Game;DS;;2007-10-30;;;;;;;Everyone;
wikidata_id_34683;The Incredibles;GBA;;2004-10-26;;;;;;;Teen;
wikidata_id_34684;Harry Potter and the Half-Blood Prince;PS2;;2009-06-30;;;;;;;Everyone 10+;Harry Potter
wikidata_id_34685;GP Challenge;PC;;2002-04-12;;;;;;;;
wikidata_id_34686;Bionicle: Maze of Shadows;GBA;;2005-03-24;;;;;;;;
wikidata_id_34687;Samurai Shodown III: Blades of Blood;PS2;;2007-06-27;;;;;;;Teen;
wikidata_id_34688;Final Fantasy XI Online: A Crystalline Prophecy;PC;;2009-01-01;;;;;;;;
wikidata_id_34689;Dragon's Lair 3D: Return to the Lair;PC;;2002-11-17;;;;;;;;
wikidata_id_34690;Final Fantasy X;PSV;;2001-07-19;;;;;;;Teen;Final Fantasy
wikidata_id_34691;Tiny Toon Adventures: Wacky Stackers;GBA;;2001-12-30;;;;;;;;
wikidata_id_34692;Ducati World Racing Challenge;DC;;2001-01-01;;;;;;;Everyone;
wikidata_id_34693;Super Robot Wars Original Generation Gaiden;PS2;;2007-12-27;;;;;;;;
wikidata_id_34694;Klonoa;Wii;;2008-12-04;;;;;;;Everyone 10+;Klonoa
